K	i	filename	clus
4	0	上白石萌歌_2000072982_0044-0154-0060-0170.jpg	1
4	1	上白石萌音_W12-1484-200315_0138-0473-0191-0526.jpg	1
4	2	二階堂ふみ_W09-3816-200117_0154-0464-0107-0417.jpg	3
4	3	北乃きい_2000003172_0069-0156-0031-0118.jpg	1
4	4	北原里英_W09-3841-200117_0164-0485-0109-0430.jpg	2
4	5	土屋太鳳_W09-0016-190414_0154-0463-0128-0437.jpg	1
4	6	大原優乃_W14-0010-200117_0180-0473-0132-0425.jpg	3
4	7	富田美憂_2000093820_0056-0151-0064-0159.jpg	1
4	8	小芝風花_2000080073_0059-0177-0029-0147.jpg	2
4	9	島崎遥香_2000081186_0056-0159-0046-0149.jpg	2
4	10	島崎遥香_W12-0060-200117_0184-0532-0128-0476.jpg	3
4	11	志田未来_2000051673_0046-0146-0053-0153.jpg	1
4	12	悠木碧_W07-0396-200117_0183-0481-0198-0496.jpg	2
4	13	新井恵理那_2000075583_0053-0154-0040-0141.jpg	1
4	14	有村架純_W10-2262-200117_0181-0488-0163-0470.jpg	1
4	15	朝日奈央_2000065685_0047-0145-0039-0137.jpg	3
4	16	木戸衣吹_W13-1621-200716_0131-0487-0081-0437.jpg	1
4	17	杉咲花_2000080502_0044-0167-0042-0165.jpg	3
4	18	松井珠理奈_2000094326_0044-0164-0034-0154.jpg	1
4	19	松岡茉優_2000054383_0050-0153-0021-0124.jpg	1
4	20	柏木由紀_W09-3847-200117_0140-0497-0156-0513.jpg	3
4	21	桜井日奈子_2000091199_0058-0182-0035-0159.jpg	1
4	22	桜庭ななみ_2000055339_0050-0160-0067-0177.jpg	1
4	23	桜庭ななみ_W09-1071-200614_0143-0480-0077-0414.jpg	1
4	24	森七菜_W17-1161-200416_0181-0494-0125-0438.jpg	1
4	25	楠木ともり_W18-0935-200117_0155-0480-0064-0389.jpg	1
4	26	橋本環奈_W14-1542-191215_0132-0484-0057-0409.jpg	1
4	27	武井咲_2000055089_0047-0149-0041-0143.jpg	1
4	28	水瀬いのり_W15-1367-171213_0181-0482-0064-0365.jpg	1
4	29	河北麻友子_2000051560_0051-0161-0043-0153.jpg	1
4	30	波瑠_2000021353_0050-0170-0043-0163.jpg	3
4	31	浜辺美波_2000072988_0046-0153-0063-0170.jpg	1
4	32	白石晴香_2000090444_0050-0150-0031-0131.jpg	1
4	33	福原遥_2000053360_0062-0163-0041-0142.jpg	1
4	34	美山加恋_W05-0078-200117_0158-0510-0119-0471.jpg	3
4	35	荻野可鈴_2000066925_0049-0147-0071-0169.jpg	3
4	36	荻野可鈴_W09-4154-191116_0190-0521-0082-0413.jpg	3
4	37	谷村美月_2000006126_0033-0146-0051-0164.jpg	4
4	38	谷村美月_W05-0527-200315_0147-0505-0129-0487.jpg	1
4	39	足立梨花_2000055325_0042-0127-0061-0146.jpg	1
4	40	麻倉もも_W14-0585-181114_0177-0489-0128-0440.jpg	1
8	0	上白石萌歌_2000072982_0044-0154-0060-0170.jpg	4
8	1	上白石萌音_W12-1484-200315_0138-0473-0191-0526.jpg	4
8	2	二階堂ふみ_W09-3816-200117_0154-0464-0107-0417.jpg	7
8	3	北乃きい_2000003172_0069-0156-0031-0118.jpg	4
8	4	北原里英_W09-3841-200117_0164-0485-0109-0430.jpg	5
8	5	土屋太鳳_W09-0016-190414_0154-0463-0128-0437.jpg	1
8	6	大原優乃_W14-0010-200117_0180-0473-0132-0425.jpg	7
8	7	富田美憂_2000093820_0056-0151-0064-0159.jpg	4
8	8	小芝風花_2000080073_0059-0177-0029-0147.jpg	5
8	9	島崎遥香_2000081186_0056-0159-0046-0149.jpg	5
8	10	島崎遥香_W12-0060-200117_0184-0532-0128-0476.jpg	7
8	11	志田未来_2000051673_0046-0146-0053-0153.jpg	3
8	12	悠木碧_W07-0396-200117_0183-0481-0198-0496.jpg	5
8	13	新井恵理那_2000075583_0053-0154-0040-0141.jpg	2
8	14	有村架純_W10-2262-200117_0181-0488-0163-0470.jpg	3
8	15	朝日奈央_2000065685_0047-0145-0039-0137.jpg	6
8	16	木戸衣吹_W13-1621-200716_0131-0487-0081-0437.jpg	3
8	17	杉咲花_2000080502_0044-0167-0042-0165.jpg	6
8	18	松井珠理奈_2000094326_0044-0164-0034-0154.jpg	3
8	19	松岡茉優_2000054383_0050-0153-0021-0124.jpg	3
8	20	柏木由紀_W09-3847-200117_0140-0497-0156-0513.jpg	7
8	21	桜井日奈子_2000091199_0058-0182-0035-0159.jpg	3
8	22	桜庭ななみ_2000055339_0050-0160-0067-0177.jpg	2
8	23	桜庭ななみ_W09-1071-200614_0143-0480-0077-0414.jpg	2
8	24	森七菜_W17-1161-200416_0181-0494-0125-0438.jpg	4
8	25	楠木ともり_W18-0935-200117_0155-0480-0064-0389.jpg	4
8	26	橋本環奈_W14-1542-191215_0132-0484-0057-0409.jpg	1
8	27	武井咲_2000055089_0047-0149-0041-0143.jpg	2
8	28	水瀬いのり_W15-1367-171213_0181-0482-0064-0365.jpg	4
8	29	河北麻友子_2000051560_0051-0161-0043-0153.jpg	2
8	30	波瑠_2000021353_0050-0170-0043-0163.jpg	7
8	31	浜辺美波_2000072988_0046-0153-0063-0170.jpg	3
8	32	白石晴香_2000090444_0050-0150-0031-0131.jpg	3
8	33	福原遥_2000053360_0062-0163-0041-0142.jpg	3
8	34	美山加恋_W05-0078-200117_0158-0510-0119-0471.jpg	7
8	35	荻野可鈴_2000066925_0049-0147-0071-0169.jpg	7
8	36	荻野可鈴_W09-4154-191116_0190-0521-0082-0413.jpg	7
8	37	谷村美月_2000006126_0033-0146-0051-0164.jpg	8
8	38	谷村美月_W05-0527-200315_0147-0505-0129-0487.jpg	3
8	39	足立梨花_2000055325_0042-0127-0061-0146.jpg	1
8	40	麻倉もも_W14-0585-181114_0177-0489-0128-0440.jpg	3
16	0	上白石萌歌_2000072982_0044-0154-0060-0170.jpg	7
16	1	上白石萌音_W12-1484-200315_0138-0473-0191-0526.jpg	7
16	2	二階堂ふみ_W09-3816-200117_0154-0464-0107-0417.jpg	15
16	3	北乃きい_2000003172_0069-0156-0031-0118.jpg	8
16	4	北原里英_W09-3841-200117_0164-0485-0109-0430.jpg	10
16	5	土屋太鳳_W09-0016-190414_0154-0463-0128-0437.jpg	1
16	6	大原優乃_W14-0010-200117_0180-0473-0132-0425.jpg	13
16	7	富田美憂_2000093820_0056-0151-0064-0159.jpg	8
16	8	小芝風花_2000080073_0059-0177-0029-0147.jpg	10
16	9	島崎遥香_2000081186_0056-0159-0046-0149.jpg	9
16	10	島崎遥香_W12-0060-200117_0184-0532-0128-0476.jpg	14
16	11	志田未来_2000051673_0046-0146-0053-0153.jpg	5
16	12	悠木碧_W07-0396-200117_0183-0481-0198-0496.jpg	9
16	13	新井恵理那_2000075583_0053-0154-0040-0141.jpg	3
16	14	有村架純_W10-2262-200117_0181-0488-0163-0470.jpg	5
16	15	朝日奈央_2000065685_0047-0145-0039-0137.jpg	11
16	16	木戸衣吹_W13-1621-200716_0131-0487-0081-0437.jpg	5
16	17	杉咲花_2000080502_0044-0167-0042-0165.jpg	12
16	18	松井珠理奈_2000094326_0044-0164-0034-0154.jpg	5
16	19	松岡茉優_2000054383_0050-0153-0021-0124.jpg	5
16	20	柏木由紀_W09-3847-200117_0140-0497-0156-0513.jpg	13
16	21	桜井日奈子_2000091199_0058-0182-0035-0159.jpg	5
16	22	桜庭ななみ_2000055339_0050-0160-0067-0177.jpg	3
16	23	桜庭ななみ_W09-1071-200614_0143-0480-0077-0414.jpg	4
16	24	森七菜_W17-1161-200416_0181-0494-0125-0438.jpg	8
16	25	楠木ともり_W18-0935-200117_0155-0480-0064-0389.jpg	8
16	26	橋本環奈_W14-1542-191215_0132-0484-0057-0409.jpg	1
16	27	武井咲_2000055089_0047-0149-0041-0143.jpg	4
16	28	水瀬いのり_W15-1367-171213_0181-0482-0064-0365.jpg	8
16	29	河北麻友子_2000051560_0051-0161-0043-0153.jpg	4
16	30	波瑠_2000021353_0050-0170-0043-0163.jpg	13
16	31	浜辺美波_2000072988_0046-0153-0063-0170.jpg	5
16	32	白石晴香_2000090444_0050-0150-0031-0131.jpg	6
16	33	福原遥_2000053360_0062-0163-0041-0142.jpg	5
16	34	美山加恋_W05-0078-200117_0158-0510-0119-0471.jpg	15
16	35	荻野可鈴_2000066925_0049-0147-0071-0169.jpg	14
16	36	荻野可鈴_W09-4154-191116_0190-0521-0082-0413.jpg	13
16	37	谷村美月_2000006126_0033-0146-0051-0164.jpg	16
16	38	谷村美月_W05-0527-200315_0147-0505-0129-0487.jpg	5
16	39	足立梨花_2000055325_0042-0127-0061-0146.jpg	2
16	40	麻倉もも_W14-0585-181114_0177-0489-0128-0440.jpg	5
32	0	上白石萌歌_2000072982_0044-0154-0060-0170.jpg	15
32	1	上白石萌音_W12-1484-200315_0138-0473-0191-0526.jpg	16
32	2	二階堂ふみ_W09-3816-200117_0154-0464-0107-0417.jpg	30
32	3	北乃きい_2000003172_0069-0156-0031-0118.jpg	19
32	4	北原里英_W09-3841-200117_0164-0485-0109-0430.jpg	22
32	5	土屋太鳳_W09-0016-190414_0154-0463-0128-0437.jpg	1
32	6	大原優乃_W14-0010-200117_0180-0473-0132-0425.jpg	27
32	7	富田美憂_2000093820_0056-0151-0064-0159.jpg	17
32	8	小芝風花_2000080073_0059-0177-0029-0147.jpg	23
32	9	島崎遥香_2000081186_0056-0159-0046-0149.jpg	21
32	10	島崎遥香_W12-0060-200117_0184-0532-0128-0476.jpg	28
32	11	志田未来_2000051673_0046-0146-0053-0153.jpg	11
32	12	悠木碧_W07-0396-200117_0183-0481-0198-0496.jpg	21
32	13	新井恵理那_2000075583_0053-0154-0040-0141.jpg	3
32	14	有村架純_W10-2262-200117_0181-0488-0163-0470.jpg	11
32	15	朝日奈央_2000065685_0047-0145-0039-0137.jpg	24
32	16	木戸衣吹_W13-1621-200716_0131-0487-0081-0437.jpg	8
32	17	杉咲花_2000080502_0044-0167-0042-0165.jpg	25
32	18	松井珠理奈_2000094326_0044-0164-0034-0154.jpg	9
32	19	松岡茉優_2000054383_0050-0153-0021-0124.jpg	11
32	20	柏木由紀_W09-3847-200117_0140-0497-0156-0513.jpg	26
32	21	桜井日奈子_2000091199_0058-0182-0035-0159.jpg	12
32	22	桜庭ななみ_2000055339_0050-0160-0067-0177.jpg	4
32	23	桜庭ななみ_W09-1071-200614_0143-0480-0077-0414.jpg	5
32	24	森七菜_W17-1161-200416_0181-0494-0125-0438.jpg	20
32	25	楠木ともり_W18-0935-200117_0155-0480-0064-0389.jpg	18
32	26	橋本環奈_W14-1542-191215_0132-0484-0057-0409.jpg	1
32	27	武井咲_2000055089_0047-0149-0041-0143.jpg	7
32	28	水瀬いのり_W15-1367-171213_0181-0482-0064-0365.jpg	17
32	29	河北麻友子_2000051560_0051-0161-0043-0153.jpg	6
32	30	波瑠_2000021353_0050-0170-0043-0163.jpg	26
32	31	浜辺美波_2000072988_0046-0153-0063-0170.jpg	9
32	32	白石晴香_2000090444_0050-0150-0031-0131.jpg	14
32	33	福原遥_2000053360_0062-0163-0041-0142.jpg	10
32	34	美山加恋_W05-0078-200117_0158-0510-0119-0471.jpg	31
32	35	荻野可鈴_2000066925_0049-0147-0071-0169.jpg	29
32	36	荻野可鈴_W09-4154-191116_0190-0521-0082-0413.jpg	27
32	37	谷村美月_2000006126_0033-0146-0051-0164.jpg	32
32	38	谷村美月_W05-0527-200315_0147-0505-0129-0487.jpg	13
32	39	足立梨花_2000055325_0042-0127-0061-0146.jpg	2
32	40	麻倉もも_W14-0585-181114_0177-0489-0128-0440.jpg	8
64	0	上白石萌歌_2000072982_0044-0154-0060-0170.jpg	19
64	1	上白石萌音_W12-1484-200315_0138-0473-0191-0526.jpg	20
64	2	二階堂ふみ_W09-3816-200117_0154-0464-0107-0417.jpg	37
64	3	北乃きい_2000003172_0069-0156-0031-0118.jpg	24
64	4	北原里英_W09-3841-200117_0164-0485-0109-0430.jpg	28
64	5	土屋太鳳_W09-0016-190414_0154-0463-0128-0437.jpg	1
64	6	大原優乃_W14-0010-200117_0180-0473-0132-0425.jpg	33
64	7	富田美憂_2000093820_0056-0151-0064-0159.jpg	21
64	8	小芝風花_2000080073_0059-0177-0029-0147.jpg	29
64	9	島崎遥香_2000081186_0056-0159-0046-0149.jpg	26
64	10	島崎遥香_W12-0060-200117_0184-0532-0128-0476.jpg	35
64	11	志田未来_2000051673_0046-0146-0053-0153.jpg	14
64	12	悠木碧_W07-0396-200117_0183-0481-0198-0496.jpg	27
64	13	新井恵理那_2000075583_0053-0154-0040-0141.jpg	4
64	14	有村架純_W10-2262-200117_0181-0488-0163-0470.jpg	14
64	15	朝日奈央_2000065685_0047-0145-0039-0137.jpg	30
64	16	木戸衣吹_W13-1621-200716_0131-0487-0081-0437.jpg	9
64	17	杉咲花_2000080502_0044-0167-0042-0165.jpg	31
64	18	松井珠理奈_2000094326_0044-0164-0034-0154.jpg	11
64	19	松岡茉優_2000054383_0050-0153-0021-0124.jpg	15
64	20	柏木由紀_W09-3847-200117_0140-0497-0156-0513.jpg	32
64	21	桜井日奈子_2000091199_0058-0182-0035-0159.jpg	16
64	22	桜庭ななみ_2000055339_0050-0160-0067-0177.jpg	5
64	23	桜庭ななみ_W09-1071-200614_0143-0480-0077-0414.jpg	6
64	24	森七菜_W17-1161-200416_0181-0494-0125-0438.jpg	25
64	25	楠木ともり_W18-0935-200117_0155-0480-0064-0389.jpg	23
64	26	橋本環奈_W14-1542-191215_0132-0484-0057-0409.jpg	2
64	27	武井咲_2000055089_0047-0149-0041-0143.jpg	8
64	28	水瀬いのり_W15-1367-171213_0181-0482-0064-0365.jpg	22
64	29	河北麻友子_2000051560_0051-0161-0043-0153.jpg	7
64	30	波瑠_2000021353_0050-0170-0043-0163.jpg	32
64	31	浜辺美波_2000072988_0046-0153-0063-0170.jpg	12
64	32	白石晴香_2000090444_0050-0150-0031-0131.jpg	18
64	33	福原遥_2000053360_0062-0163-0041-0142.jpg	13
64	34	美山加恋_W05-0078-200117_0158-0510-0119-0471.jpg	38
64	35	荻野可鈴_2000066925_0049-0147-0071-0169.jpg	36
64	36	荻野可鈴_W09-4154-191116_0190-0521-0082-0413.jpg	34
64	37	谷村美月_2000006126_0033-0146-0051-0164.jpg	39
64	38	谷村美月_W05-0527-200315_0147-0505-0129-0487.jpg	17
64	39	足立梨花_2000055325_0042-0127-0061-0146.jpg	3
64	40	麻倉もも_W14-0585-181114_0177-0489-0128-0440.jpg	10
